epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.655,1.97714,3.4561,1.87012,0.20538,0.20167,0.11174,0.037,1.40923,50.0561,1.43602,0.000553272,0.000553272,0.000553272
2,352.713,2.03181,2.78568,1.91583,0.14857,0.17085,0.11884,0.0429,1.41367,50.8745,1.37845,0.000889368,0.000889368,0.000889368
3,503.213,1.98359,2.53325,1.8864,0.20586,0.2201,0.13319,0.04793,1.51782,32.6112,1.46032,0.00100542,0.00100542,0.00100542
4,665.164,1.887,2.30793,1.83392,0.37673,0.29126,0.26109,0.1064,1.29528,18.849,1.27293,0.000676802,0.000676802,0.000676802
5,827.888,1.81908,2.12713,1.74414,0.38999,0.35407,0.3266,0.13668,1.254,8.41072,1.22109,0.000346736,0.000346736,0.000346736
