filename,n_gt,n_pred,tp,fp,fn,loc,category
ck0keprw9ke1d08483vmle7ed_jpeg_jpg.rf.3baf2a1e46568094b09fa66ce09c3c3e.jpg,1,1,1,0,0,0,true_positive
ck0khubxx5khq0794ja58vgv5_jpeg_jpg.rf.8e47c57033667044b1d2d5c154c34a2c.jpg,1,1,1,0,0,0,true_positive
ck0kkz639le090848leseakdk_jpeg_jpg.rf.22a4d1379838312d5859cc4787253b99.jpg,1,1,1,0,0,0,true_positive
ck0kkzh767dc70838hdq9sv4u_jpeg_jpg.rf.92159e5a7b24390354d6eeebadadc88e.jpg,1,1,1,0,0,0,true_positive
ck0kmem9m68vr07947lx0jam1_jpeg_jpg.rf.f0f76901415424cdf93579be42455cb5.jpg,1,1,1,0,0,0,true_positive
ck0kmfd7ibcib0721v08q1jv0_jpeg_jpg.rf.ae71ba4cd5a2bcc650d2ca1b20cd9396.jpg,1,1,1,0,0,0,true_positive
ck0knae84lryw08485s94co4s_jpeg_jpg.rf.01a6335f933867be008276d7e58a5d32.jpg,1,2,1,1,0,0,false_positive
ck0knw1mc96cu09446iq0ugae_jpeg_jpg.rf.6b6a80e5fd82abc52ccaa125c03b3511.jpg,1,2,1,1,0,0,false_positive
ck0l8di4xoje408487bsrbpj9_jpeg_jpg.rf.92c6519de01731f1ff34bd8dc6d316f7.jpg,1,1,0,0,0,1,localization
ck0l8e146nb1h0a46oop6lane_jpeg_jpg.rf.753bb23ada663cb73b40308387f3881f.jpg,1,1,1,0,0,0,true_positive
ck0l9434gamzj0838n5rjdp1a_jpeg_jpg.rf.b0049d71381f75bdaa8414618f73a459.jpg,1,2,1,1,0,0,false_positive
ck0lwgsmatsrm0848br00vfki_jpeg_jpg.rf.76871c142e39fa43cbac0873ebc7c17d.jpg,1,1,0,0,0,1,localization
ck0lwhatvfrid08386w2352zc_jpeg_jpg.rf.53c68a26c3dccd4b81a34ac87db3cb94.jpg,1,2,1,1,0,0,false_positive
ck0lwj354jo7n07218v6vgpvi_jpeg_jpg.rf.0bc61f4e2e8c46a95ccce56ff4b56ddb.jpg,1,1,1,0,0,0,true_positive
ck0lwj354jo7n07218v6vgpvi_jpeg_jpg.rf.6bd3df1fdc8178651a984d7c6d332e3b.jpg,1,1,1,0,0,0,true_positive
ck0lxgqhheq2b08638gu6tna1_jpeg_jpg.rf.26f9985aa3191838f8adb176aad964bf.jpg,1,1,1,0,0,0,true_positive
ck0lxhbtdewio0794g9qrp7o9_jpeg_jpg.rf.55b741e9ba4dd7ce0e78a889ac692e59.jpg,1,1,1,0,0,0,true_positive
ck0lxi2vsiexh0701c7jcu934_jpeg_jpg.rf.451ad643e23f3df3f21a678378cd5589.jpg,1,0,0,0,1,0,false_negative
ck0m1lu0nhb320863zyoofeiw_jpeg_jpg.rf.e6b8202653ba85c5ee35c7e0f035cbd4.jpg,1,1,1,0,0,0,true_positive
ck0m1maf2vnl30a46vnjvga3r_jpeg_jpg.rf.0bab426e6ddf532b9c6a7795bceb27a1.jpg,1,1,1,0,0,0,true_positive
ck0m1n0c1hbus0863ti6kd58t_jpeg_jpg.rf.4d3ebd49e7075b1a787bc239d94c395b.jpg,1,1,0,1,1,0,mixed_error
ck0ncvnd332hj079400vhocib_jpeg_jpg.rf.b833b3db26ba7b67760e32238b201be4.jpg,1,1,1,0,0,0,true_positive
ck0ncwmnt6hyp07016zypssxs_jpeg_jpg.rf.79bd1085656b88dc0ea8b9eff8882394.jpg,1,1,0,0,0,1,localization
ck0ndwu8pj3180848zonjasmz_jpeg_jpg.rf.c7bb92fea2ac782db1db85e1d73841c8.jpg,1,2,1,1,0,0,false_positive
ck0ndxwjf3icx0794m3hlih4u_jpeg_jpg.rf.4b50953b6a8f3d2e23282a0d77f25752.jpg,1,1,0,0,0,1,localization
ck0oukw23toun0944nstsyx8g_jpeg_jpg.rf.25c0c9c2db68f8c2ca30115bf7e8aab3.jpg,1,1,1,0,0,0,true_positive
ck0oulkapr2bj0794zz57fbjp_jpeg_jpg.rf.d23fee42945b51ac819ed179883c3e77.jpg,1,1,1,0,0,0,true_positive
ck0qb9do2fwc708385reizk6h_jpeg_jpg.rf.ebf1d1799516e31f0270eb58b34fce43.jpg,1,1,1,0,0,0,true_positive
ck0qbaubof1z40863w0scvpra_jpeg_jpg.rf.b771dc5e858cf2c443949f2ac19f62f2.jpg,1,1,1,0,0,0,true_positive
ck0qc86fnk6ox0721cb5kg3tl_jpeg_jpg.rf.26a24e04ffd0e6b3afd257943d05e017.jpg,1,2,1,1,0,0,false_positive
ck0qc8qkohujb0701aq2988oa_jpeg_jpg.rf.2c748635bb1ed2f67857ea78bec357dd.jpg,1,1,0,1,1,0,mixed_error
ck0qd50hwi1k10944i25e7al9_jpeg_jpg.rf.298883bd20a98532871e82d49c99734a.jpg,1,1,1,0,0,0,true_positive
ck0rp95tf2vg70794wbjk2kk3_jpeg_jpg.rf.3cb7e08c9135cb2556d69459b333670c.jpg,1,2,1,1,0,0,false_positive
ck0rp9iochje10a46pq920puz_jpeg_jpg.rf.220f7da45c52d9e8808f36cd8c83582e.jpg,1,1,1,0,0,0,true_positive
ck0rqkhjb4o7k0863lhsglv38_jpeg_jpg.rf.f8621636c2c048d267116e68ea21f547.jpg,1,1,1,0,0,0,true_positive
ck0rql046icek0a462kapdu97_jpeg_jpg.rf.0ccb1002bd78bbe304d45f2a914a8b8a.jpg,1,1,1,0,0,0,true_positive
ck0rqlovu6jid0944lyedc9vj_jpeg_jpg.rf.e9fcf60ddf8a7055089feba2d7b1d4c2.jpg,1,1,1,0,0,0,true_positive
ck0t20os6mrcb0944xrc0wamx_jpeg_jpg.rf.3cd4955ca1a34c5baa2ede2cef1f5ae2.jpg,1,1,1,0,0,0,true_positive
ck0t235u3msgt0944a7jzn8hp_jpeg_jpg.rf.2055e4a0b778b318875972d4b2a65f17.jpg,1,2,1,1,0,0,false_positive
ck0t3r291z3xb0a46a6hx1rak_jpeg_jpg.rf.d970eeb089245f8ded0551f0f3b9a915.jpg,1,1,0,0,0,1,localization
ck0t3s74cnfks070126deykt2_jpeg_jpg.rf.f4e6512669278b166a10a8827d42dfe9.jpg,1,2,1,1,0,0,false_positive
ck0t3zt3lnd7u0944gqvvuxtw_jpeg_jpg.rf.f46e5140fb49e138719bd76540816e37.jpg,1,1,0,1,1,0,mixed_error
ck0t59c0wnw4607010uyziiam_jpeg_jpg.rf.52fe31a842aa2a116876b86b8ca9674b.jpg,1,1,1,0,0,0,true_positive
ck0t5n2jlkxuc07940mygjo8f_jpeg_jpg.rf.e5ce629c5717361cf268e25b67fa65f5.jpg,1,0,0,0,1,0,false_negative
ck0t74gx40b5u0a46s72no2dg_jpeg_jpg.rf.46756644bf90514e747df824d671aeb8.jpg,1,1,1,0,0,0,true_positive
ck0t765i5mk8j0863od0a5ghy_jpeg_jpg.rf.c72250707172ce9433bedc7a9e03eb1a.jpg,1,2,1,1,0,0,false_positive
ck0tsz3b0624008481fmfbt28_jpeg_jpg.rf.e013e3958bd6774c42f33d018522aa95.jpg,1,1,1,0,0,0,true_positive
ck0twzs19s8ld08632qx4gg12_jpeg_jpg.rf.0b6d40baad7ab7a34190a2a621229dc7.jpg,1,1,1,0,0,0,true_positive
ck0txvj9m6otr0848fayj9tte_jpeg_jpg.rf.33cb0075e32b68d9b00d8b235d7adb95.jpg,1,1,1,0,0,0,true_positive
ck0txvtlisck20863fbb7u1gc_jpeg_jpg.rf.c3e138018a99811b80d14e6d90055b00.jpg,1,0,0,0,1,0,false_negative
ck0txwk8k6owz0848gejqchq8_jpeg_jpg.rf.01f04baaa9b70b90ef2cff4e0752ee4e.jpg,1,1,1,0,0,0,true_positive
ck0tyt8nmui9l0701fr3lsu7s_jpeg_jpg.rf.2545522ca1b5fdef1cbf4d083d15dc32.jpg,1,1,1,0,0,0,true_positive
ck0tyucu3uekj0944f3usafki_jpeg_jpg.rf.78855595c23db1f28183add84a3ffbfc.jpg,1,0,0,0,1,0,false_negative
ck0tyvz1p6ssd0848z1brl0fl_jpeg_jpg.rf.7e76593243f7ef2f7179f6f1be64cbee.jpg,1,1,1,0,0,0,true_positive
ck0tzu01r69vw0a464th4yn43_jpeg_jpg.rf.ad63364d0faf27a8768c4cad20cc0465.jpg,1,1,0,0,0,1,localization
ck0tzuao2wuuv0721d9vb3uvm_jpeg_jpg.rf.146c854629b61be05124da034f9b18cf.jpg,1,1,1,0,0,0,true_positive
ck0u0hs5pwywo0721zyjfy75h_jpeg_jpg.rf.58d4d378dc204ce31d8e32ceffb5abd5.jpg,1,1,1,0,0,0,true_positive
ck0u0ihp7sq1z086335c6h592_jpeg_jpg.rf.ff1bf0aaec222ec8d0f636d5a9937f47.jpg,1,1,1,0,0,0,true_positive
ck0u14y7arp5c0794llhscme5_jpeg_jpg.rf.147e545a5e7c1fae3002f52a35de3f01.jpg,1,1,0,0,0,1,localization
ck0u97a47vo2h0944rwxehqpl_jpeg_jpg.rf.fe7a7ebc6294b95fa65601fa83fdf4a2.jpg,1,2,1,1,0,0,false_positive
ck0ujo3wrv2130838pn66pvj4_jpeg_jpg.rf.6969533085e9141faf3fe14bed31e98d.jpg,1,1,1,0,0,0,true_positive
ck0ujoiltwezp0944u48gk6wn_jpeg_jpg.rf.19ca1c865956837266ae5edf17e9291d.jpg,1,1,1,0,0,0,true_positive
ck0ujvtjvyrjx0721f1bk9yvy_jpeg_jpg.rf.26690173fcb7d9a0c4eb7ae2693b95e1.jpg,1,1,1,0,0,0,true_positive
ck0ukjmceuk3t0863k4o3i8g4_jpeg_jpg.rf.784cf9e68762d3b5db925ca879316dc2.jpg,1,1,0,0,0,1,localization
ck0ukk30lwlt9070113ad7m2j_jpeg_jpg.rf.bdffda94e49a5b0de90ed79880f585f2.jpg,1,1,1,0,0,0,true_positive
ezgif-frame-116_jpg.rf.1dadcbb7b5498f2ef2ecbd1f037e1dfa.jpg,1,1,1,0,0,0,true_positive
ezgif-frame-122_jpg.rf.1e68313ea11206743c3057ecf880292e.jpg,1,1,1,0,0,0,true_positive
fire1-101-_jpg.rf.e0af275591fc12191d554fdf0c2cc04e.jpg,1,1,1,0,0,0,true_positive
fire1-1036-_jpg.rf.cc37b4daf4c0a0dee9c3b225d6ec35b9.jpg,3,1,1,0,2,0,false_negative
fire1-1065-_jpg.rf.8f6abcb547709d12dd7480cccabe73fb.jpg,2,2,0,1,1,1,localization
fire1-1065-_jpg.rf.b4215d64ef2c520fb0895d58cf5ace46.jpg,2,2,0,1,1,1,localization
fire1-1071-_jpg.rf.80ce0b229638b06d5609f8430a67d819.jpg,1,1,1,0,0,0,true_positive
fire1-1076-_jpg.rf.e3de13f217d0c6fa336007ea2007c259.jpg,7,4,3,0,3,1,localization
fire1-1201-_jpg.rf.03356d05fe813114ec71fe38f233ea09.jpg,1,1,1,0,0,0,true_positive
fire1-1211-_jpg.rf.6b969d6042a9268f42de8335404b5c2c.jpg,3,4,2,1,0,1,localization
fire1-1228-_jpg.rf.079e8a8429d17ae5304eae8b116605df.jpg,5,3,1,0,2,2,localization
fire1-1236-_jpg.rf.5ca23d205a9858e09090daa887e39de0.jpg,5,5,5,0,0,0,true_positive
fire1-1307-_jpg.rf.dfaea710c50cfe88c5d08ed06452d954.jpg,1,1,1,0,0,0,true_positive
fire1-1354-_jpg.rf.17319ce548269f754a8c8ad207d1850d.jpg,3,3,3,0,0,0,true_positive
fire1-1360-_jpg.rf.daa9dc9751f611ed4443958534370788.jpg,5,3,2,0,2,1,localization
fire1-1413-_jpg.rf.ed94001f4a73a587f2a5da24ff49f5c5.jpg,6,1,0,1,6,0,mixed_error
fire1-15-_jpg.rf.7446f9d66dc55f3c4bd9f66ca1ecce3e.jpg,4,1,1,0,3,0,false_negative
fire1-15-_jpg.rf.dba5a94bfb8987ef393dfba07349af18.jpg,4,2,2,0,2,0,false_negative
fire1-1521-_jpg.rf.f164493e3d4104a64307266f0f7ad91e.jpg,1,2,1,1,0,0,false_positive
fire1-1523-_jpg.rf.82df673f0448e72a1f95a4493d0d804b.jpg,3,4,3,1,0,0,false_positive
fire1-1531-_jpg.rf.8d374b85fb655d0677de8ed9a0585cd9.jpg,1,1,1,0,0,0,true_positive
fire1-198-_jpg.rf.d08ed34abc623b389bd5cdd77f7de61b.jpg,2,3,2,1,0,0,false_positive
fire1-215-_jpg.rf.2bfc8810851e6f5e538b9be96f95d95b.jpg,2,2,2,0,0,0,true_positive
fire1-29-_jpg.rf.7b77f24cda5588485f410c410d9ab9a7.jpg,4,3,1,1,2,1,localization
fire1-310-_jpg.rf.7840d0479a9f0b2e990f5d2105e32bb7.jpg,1,1,1,0,0,0,true_positive
fire1-329-_jpg.rf.128197ad3813a34fad5f4aaddc8995ea.jpg,1,1,1,0,0,0,true_positive
fire1-343-_jpg.rf.e40887c3e4b9eccd780fc7bd8336646d.jpg,1,1,1,0,0,0,true_positive
fire1-351-_jpg.rf.b3395500f64f464618adb2418370942c.jpg,2,2,2,0,0,0,true_positive
fire1-369-_jpg.rf.96efb7221ea70a62fc713dbf249d8783.jpg,1,1,1,0,0,0,true_positive
fire1-370-_jpg.rf.c639958bb42e8a40a6e6447b0a5f3f41.jpg,1,1,1,0,0,0,true_positive
fire1-490-_jpg.rf.17209d60ab2aecbcdc1b2ee9714e3dbf.jpg,1,1,1,0,0,0,true_positive
fire1-5-_jpg.rf.0d31a883a90859e54225e7b063ebb40c.jpg,2,1,1,0,1,0,false_negative
fire1-5-_jpg.rf.ea7e387d89afd53a6d0a2bc735647b16.jpg,2,1,1,0,1,0,false_negative
fire1-505-_jpg.rf.db1e4ef9a5cdb06d5057078e0f3ba1ca.jpg,1,1,1,0,0,0,true_positive
fire1-519-_jpg.rf.1d2f8e1c50da8b071da6522aabf0ffa8.jpg,2,1,1,0,1,0,false_negative
fire1-53-_jpg.rf.6eb90eb8b3cea17f087f1c5e332a3283.jpg,1,1,1,0,0,0,true_positive
fire1-550-_jpg.rf.7283dd2309d964e8ccb57e0a20bdf7f6.jpg,1,1,1,0,0,0,true_positive
fire1-551-_jpg.rf.d6ffccd632e059613944c6f00a9956cb.jpg,1,1,1,0,0,0,true_positive
