epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.616,1.96456,6.73965,1.84369,0.15097,0.20396,0.08521,0.02735,1.44671,209.777,1.40509,0.000553272,0.000553272,0.000553272
2,315.565,1.99738,5.34202,1.86461,0.29321,0.30545,0.17862,0.06401,1.39198,82.2205,1.36587,0.000889368,0.000889368,0.000889368
3,472.812,1.97429,4.94068,1.86276,0.28768,0.29913,0.19213,0.07201,1.36288,56.1522,1.3177,0.00100542,0.00100542,0.00100542
4,624.176,1.88669,4.48139,1.82527,0.28958,0.3053,0.22263,0.08876,1.34065,136.672,1.2998,0.000676802,0.000676802,0.000676802
5,777.299,1.82676,4.14829,1.73611,0.48526,0.38499,0.39684,0.16953,1.2262,27.2065,1.19755,0.000346736,0.000346736,0.000346736
