experiment_id,date_utc,model,starting_weights,imgsz,epochs_requested,epochs_run,batch,optimizer,lr0,weight_decay,augmentation_notes,seed,hardware,duration,best_epoch,precision,recall,f1,map50,map50_95,model_size_mb,notes
e1_baseline_v8n,2026-07-14 07:38,yolov8n,yolov8n.pt (COCO-pretrained),640,40,40,16,AdamW,0.001667,0.0005,fliplr=0.5; flipud=0.0; degrees=0.0; translate=0.1; scale=0.5; mosaic=1.0; mixup=0.0; hsv_h=0.015; hsv_s=0.7; hsv_v=0.4; close_mosaic=10,42,LAPTOP-IVG8DOL6 | cuda:0,2h 55m 52s,39,0.56986,0.44602,0.5003916942946017,0.49104,0.22522,5.96,Fast lightweight baseline.
e4d_probe_baseline,2026-07-14 17:20,yolov8n,yolov8n.pt (COCO-pretrained),640,5,5,16,AdamW,0.001667,0.0005,fliplr=0.5; flipud=0.0; degrees=0.0; translate=0.1; scale=0.5; mosaic=1.0; mixup=0.0; hsv_h=0.015; hsv_s=0.7; hsv_v=0.4; close_mosaic=10,42,LAPTOP-IVG8DOL6 | cuda:0,15m 39s,5,0.38999,0.35407,0.3711629688465984,0.3266,0.13668,5.96,Probe CONTROL: default recipe at the probe budget.
e4a_probe_adamw,2026-07-14 17:36,yolov8n,yolov8n.pt (COCO-pretrained),640,5,5,16,AdamW,0.001,0.0005,fliplr=0.5; flipud=0.0; degrees=0.0; translate=0.1; scale=0.5; mosaic=1.0; mixup=0.0; hsv_h=0.015; hsv_s=0.7; hsv_v=0.4; close_mosaic=10,42,LAPTOP-IVG8DOL6 | cuda:0,15m 9s,5,0.48344,0.37538,0.4226117398290678,0.37322,0.16355,5.96,Probe A: optimizer AdamW + lr0 1e-3 (vs the auto-selected optimizer).
e4b_probe_augment,2026-07-14 17:51,yolov8n,yolov8n.pt (COCO-pretrained),640,5,5,16,AdamW,0.001667,0.0005,fliplr=0.5; flipud=0.0; degrees=0.0; translate=0.1; scale=0.7; mosaic=1.0; mixup=0.0; hsv_h=0.015; hsv_s=0.7; hsv_v=0.6; close_mosaic=2,42,LAPTOP-IVG8DOL6 | cuda:0,15m 9s,5,0.36633,0.35524,0.3606997774297712,0.30261,0.12644,5.96,"Probe B: stronger photometric + scale augmentation (hsv_v 0.4->0.6, scale 0.5->0.7) for lighting robustness."
e4c_probe_loss,2026-07-14 18:05,yolov8n,yolov8n.pt (COCO-pretrained),640,5,5,16,AdamW,0.001667,0.0005,fliplr=0.5; flipud=0.0; degrees=0.0; translate=0.1; scale=0.5; mosaic=1.0; mixup=0.0; hsv_h=0.015; hsv_s=0.7; hsv_v=0.4; close_mosaic=10,42,LAPTOP-IVG8DOL6 | cuda:0,14m 26s,5,0.48526,0.38499,0.4293484571100259,0.39684,0.16953,5.96,Probe C: classification-loss weight doubled (0.5 -> 1.0).
e3_compare_11n,2026-07-14 18:45,yolo11n,yolo11n.pt (COCO-pretrained),640,12,12,16,AdamW,0.001667,0.0005,fliplr=0.5; flipud=0.0; degrees=0.0; translate=0.1; scale=0.5; mosaic=1.0; mixup=0.0; hsv_h=0.015; hsv_s=0.7; hsv_v=0.4; close_mosaic=10,42,LAPTOP-IVG8DOL6 | cuda:0,39m 40s,12,0.52679,0.40983,0.4610073363797485,0.43481,0.20039,5.22,YOLO11n - newer architecture at the same cost class as YOLOv8n. Equal batch/imgsz to the baseline; compared at equal epochs.
e5a_naive_restart,2026-07-14 19:05,best,outputs/training/e1_baseline_v8n/weights/best.pt (continued fine-tuning from our own e1_baseline_v8n checkpoint),640,12,7,16,AdamW (auto; requested lr0=0.002 was ignored),0.001667,0.0005,fliplr=0.5; flipud=0.0; degrees=0.0; translate=0.1; scale=0.5; mosaic=1.0; mixup=0.0; hsv_h=0.015; hsv_s=0.7; hsv_v=0.4; close_mosaic=10,42,LAPTOP-IVG8DOL6 | cuda:0,19m 12s,1,0.55897,0.43676,0.4903653343777931,0.44796,0.2021,5.96,"FAILED ATTEMPT (kept, reported): continued from the baseline checkpoint but with a fresh 12-epoch schedule - default warm-up ramped the LR back up and mosaic was re-enabled, which partly undid the converged model. Best epoch = 1, then it degraded."
e5_final,2026-07-14 19:38,best,outputs/training/e1_baseline_v8n/weights/best.pt (continued fine-tuning from our own e1_baseline_v8n checkpoint),640,10,10,16,AdamW,0.0001,0.0005,fliplr=0.5; flipud=0.0; degrees=0.0; translate=0.1; scale=0.5; mosaic=0.0; mixup=0.0; hsv_h=0.015; hsv_s=0.7; hsv_v=0.4; close_mosaic=10,42,LAPTOP-IVG8DOL6 | cuda:0,25m 59s,6,0.53557,0.45245,0.490513646484889,0.47792,0.21824,5.96,"Tuned final model - gentle continuation of the baseline checkpoint (explicit AdamW, lr0 1e-4 decaying to 1e-5, no warm-up, no mosaic) plus the winning cls=1.0 from the probe study."
