epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4879.39,1.6903,3.32591,1.64304,0.54879,0.47027,0.47258,0.21739,1.19078,7.86215,1.17731,0.000821206,0.000821206,0.000821206
43,4994.36,1.70557,3.37859,1.65591,0.58718,0.4109,0.45834,0.21596,1.18891,12.3541,1.17972,0.000800577,0.000800577,0.000800577
44,5110.17,1.6747,3.25653,1.6434,0.56375,0.4401,0.46614,0.218,1.21048,11.6666,1.19186,0.000779948,0.000779948,0.000779948
45,5225.21,1.66506,3.25234,1.61992,0.57986,0.42257,0.46345,0.21745,1.19043,13.2406,1.17791,0.000759318,0.000759318,0.000759318
46,5340.07,1.66307,3.22355,1.6393,0.5539,0.45365,0.48216,0.23043,1.18226,14.8063,1.16574,0.000738689,0.000738689,0.000738689
47,5454.66,1.6768,3.21601,1.63748,0.58883,0.42868,0.46377,0.20893,1.21359,17.8844,1.19538,0.00071806,0.00071806,0.00071806
48,5569.92,1.65441,3.09474,1.59563,0.63354,0.39096,0.44659,0.21256,1.19,20.8891,1.16692,0.000697431,0.000697431,0.000697431
49,5685.49,1.65932,3.15617,1.60906,0.58046,0.4364,0.47829,0.2268,1.1822,15.386,1.16496,0.000676802,0.000676802,0.000676802
50,5801.84,1.63155,3.12979,1.606,0.5874,0.42819,0.48035,0.22956,1.19312,10.9381,1.18013,0.000656173,0.000656173,0.000656173
51,5917.27,1.65252,3.11661,1.60443,0.64671,0.42912,0.49546,0.23269,1.20729,14.9449,1.17956,0.000635544,0.000635544,0.000635544
52,6032.99,1.62391,3.10391,1.58893,0.6315,0.40733,0.48198,0.22678,1.1909,13.0372,1.15865,0.000614915,0.000614915,0.000614915
53,6148.1,1.64194,3.10338,1.60418,0.61177,0.41463,0.47267,0.22371,1.17882,35.446,1.16085,0.000594286,0.000594286,0.000594286
54,6263.97,1.61428,3.03646,1.56732,0.62306,0.41708,0.46948,0.22005,1.19745,19.751,1.1755,0.000573656,0.000573656,0.000573656
55,6379.45,1.62462,3.01974,1.59309,0.62311,0.42523,0.49954,0.23586,1.16899,10.6766,1.13408,0.000553027,0.000553027,0.000553027
56,6495.51,1.60045,2.98946,1.57147,0.5801,0.44264,0.47606,0.222,1.1911,21.1995,1.17291,0.000532398,0.000532398,0.000532398
57,6610.91,1.60854,2.97363,1.57026,0.60254,0.46875,0.5032,0.23796,1.19316,7.29072,1.16822,0.000511769,0.000511769,0.000511769
58,6726.44,1.60646,2.94765,1.57238,0.62768,0.43871,0.48926,0.23915,1.17236,21.504,1.14489,0.00049114,0.00049114,0.00049114
59,6841.92,1.59686,2.92158,1.56694,0.59303,0.45245,0.49192,0.22968,1.19603,15.1832,1.17826,0.000470511,0.000470511,0.000470511
60,6957.24,1.58998,2.87155,1.55547,0.63091,0.43736,0.49494,0.23482,1.19285,18.3845,1.16612,0.000449882,0.000449882,0.000449882
61,7072.99,1.60642,2.92249,1.5718,0.62907,0.44699,0.48576,0.22894,1.18334,15.4612,1.15807,0.000429253,0.000429253,0.000429253
62,7188.62,1.5704,2.88339,1.54406,0.61613,0.44335,0.48959,0.23643,1.17985,17.8795,1.1593,0.000408623,0.000408623,0.000408623
63,7303.84,1.5844,2.86773,1.54772,0.58683,0.45498,0.49136,0.232,1.18157,17.0952,1.16916,0.000387994,0.000387994,0.000387994
64,7419.13,1.56879,2.8194,1.53095,0.57563,0.43817,0.48394,0.2249,1.1815,11.2765,1.1535,0.000367365,0.000367365,0.000367365
65,7533.91,1.56735,2.84884,1.54256,0.63606,0.41399,0.48774,0.22877,1.17614,15.3035,1.15505,0.000346736,0.000346736,0.000346736
66,7649.05,1.56423,2.83746,1.54626,0.61106,0.43474,0.48116,0.2245,1.17202,22.1985,1.15771,0.000326107,0.000326107,0.000326107
67,7763.94,1.54656,2.79779,1.53793,0.65076,0.42102,0.4866,0.22758,1.18689,24.5511,1.16769,0.000305478,0.000305478,0.000305478
68,7878.05,1.55362,2.74728,1.53068,0.63804,0.42294,0.48641,0.23025,1.17912,22.2294,1.1539,0.000284849,0.000284849,0.000284849
69,7992.24,1.52841,2.6872,1.51794,0.64676,0.43418,0.49417,0.23253,1.18461,21.751,1.16123,0.00026422,0.00026422,0.00026422
70,8107.38,1.53219,2.69044,1.50341,0.64878,0.44021,0.49108,0.23677,1.16801,19.9748,1.14729,0.00024359,0.00024359,0.00024359
71,8235.49,1.55089,2.46415,1.53098,0.6393,0.41413,0.47686,0.21741,1.19546,21.6966,1.18137,0.000222961,0.000222961,0.000222961
72,8370.03,1.52816,2.42897,1.53562,0.66287,0.4268,0.49654,0.2307,1.20135,18.9171,1.17905,0.000202332,0.000202332,0.000202332
73,8493,1.52441,2.39495,1.52693,0.6676,0.41747,0.49358,0.22891,1.18397,24.6934,1.15628,0.000181703,0.000181703,0.000181703
74,8617.85,1.50966,2.33802,1.50968,0.68477,0.40796,0.49872,0.23672,1.18677,24.3717,1.15508,0.000161074,0.000161074,0.000161074
75,8737.45,1.48875,2.3022,1.49696,0.61674,0.45103,0.50482,0.23504,1.19727,23.6448,1.18453,0.000140445,0.000140445,0.000140445
76,8857.25,1.48417,2.28443,1.48618,0.67436,0.43818,0.50835,0.23783,1.19459,22.8483,1.17485,0.000119816,0.000119816,0.000119816
77,8985.95,1.48662,2.26746,1.49181,0.66662,0.44066,0.50751,0.24189,1.18308,23.1819,1.15933,9.91865e-05,9.91865e-05,9.91865e-05
78,9107.28,1.47022,2.21669,1.48808,0.68668,0.4289,0.50417,0.24054,1.18877,24.9613,1.16472,7.85574e-05,7.85574e-05,7.85574e-05
79,9231.13,1.46155,2.17325,1.47978,0.6768,0.43182,0.49931,0.23839,1.18961,25.3989,1.16261,5.79283e-05,5.79283e-05,5.79283e-05
80,9348.99,1.46055,2.18888,1.4766,0.68122,0.42796,0.50033,0.23943,1.18654,28.7921,1.16012,3.72991e-05,3.72991e-05,3.72991e-05
