confidence_threshold,precision,recall,f1,false_positives,false_negatives,true_positives
0.1,0.6680132137962332,0.44071204059665214,0.5310629760280398,1968,538,928
0.15,0.6680132137962332,0.44071204059665214,0.5310629760280398,1219,604,862
0.2,0.6680132137962332,0.44071204059665214,0.5310629760280398,798,664,803
0.3,0.6603818348571073,0.444214084876864,0.5311461090875734,413,736,732
0.4,0.7165360822022608,0.41402798595232104,0.5248105778925316,244,811,659
0.5,0.8145782054150816,0.36208220736737307,0.5013243778510234,135,898,574
0.6,0.8774813895781637,0.2924969639946172,0.4387442581815677,64,1009,463
