epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.27,1.55357,3.00005,1.55465,0.55897,0.43676,0.44796,0.2021,1.22878,19.4947,1.19921,0.000553272,0.000553272,0.000553272
2,304.703,1.64031,3.18851,1.59619,0.53247,0.38727,0.39694,0.16125,1.29052,57.0022,1.24291,0.00101745,0.00101745,0.00101745
3,470.213,1.73989,3.32329,1.69797,0.46808,0.36955,0.36473,0.15373,1.31032,25.7697,1.26336,0.00138995,0.00138995,0.00138995
4,621.974,1.7529,3.32206,1.70202,0.50664,0.35077,0.37012,0.16035,1.3011,20.2629,1.25486,0.00125442,0.00125442,0.00125442
5,770.259,1.72502,3.25544,1.69889,0.48068,0.38258,0.38243,0.17196,1.2495,16.0647,1.22516,0.00111689,0.00111689,0.00111689
6,917.649,1.70471,3.10394,1.69139,0.55368,0.41965,0.44023,0.19159,1.21613,33.9737,1.19157,0.000979362,0.000979362,0.000979362
7,1063.92,1.66593,2.96097,1.6465,0.51376,0.38118,0.39411,0.1698,1.25171,36.5709,1.22513,0.000841835,0.000841835,0.000841835
