epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.75,2.01958,2.99066,1.92114,0.11204,0.10816,0.04144,0.01144,1.68589,10.666,1.65105,0.000331897,0.000331897,0.0671422
2,327.136,1.97825,2.49548,1.87815,0.29658,0.27998,0.21113,0.07929,1.35612,69.6205,1.36715,0.000533514,0.000533514,0.0340105
3,483.442,1.92718,2.35896,1.84459,0.28615,0.26051,0.17253,0.06357,1.39732,45.5036,1.33387,0.000603132,0.000603132,0.00074681
4,653.726,1.85926,2.20766,1.79254,0.44676,0.32119,0.31198,0.13004,1.28443,4.88139,1.23484,0.000406,0.000406,0.000406
