epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.859,2.00576,3.46228,1.83103,0.15117,0.20872,0.06405,0.01949,1.65372,91.3379,1.53746,0.000553272,0.000553272,0.000553272
2,317.654,2.07222,2.75721,1.87036,0.12273,0.22913,0.08422,0.0245,1.56882,53.6923,1.4939,0.000889368,0.000889368,0.000889368
3,473.085,2.01469,2.5276,1.8346,0.1737,0.21344,0.10247,0.03332,1.52587,35.4678,1.49579,0.00100542,0.00100542,0.00100542
4,659.582,2.06581,2.53079,1.95673,0.3014,0.26796,0.2291,0.09159,1.35386,21.0912,1.30728,0.000676802,0.000676802,0.000676802
5,816.886,1.94573,2.28331,1.86541,0.36633,0.35524,0.30261,0.12644,1.24622,27.0271,1.20803,0.000346736,0.000346736,0.000346736
